t,u,v,w
0.02,0.3093,-0.0332,-0.0236
0.03,0.3298,-0.0156,-0.0236
0.04,0.3298,-0.0156,-0.0236
0.05,0.3298,-0.0156,-0.0236
0.06,0.3298,-0.0156,-0.0236
0.07,0.3298,-0.0156,-0.0236
0.08,0.3298,-0.0156,-0.0236
0.09,0.3503,0.002,-0.0236
0.1,0.2929,-0.0027,-0.0236
0.11,0.2354,0.0074,-0.0236
0.12,0.2354,0.0074,-0.0236
0.13,0.2832,0.0176,-0.0236
0.14,0.3309,-0.0185,-0.0236
0.15,0.3839,-0.0547,-0.0236
0.16,0.3932,-0.0656,-0.0236
0.17,0.3932,-0.011,-0.0236
0.18,0.393,0.0432,-0.0236
0.19,0.3932,-0.0295,-0.0236
0.2,0.3932,-0.0214,-0.0236
0.21,0.3932,-0.0132,-0.0236
0.22,0.4026,-0.03,-0.01205
0.23,0.3174,-0.0172,-0.01205
0.24,0.2322,-0.017,-0.01205
0.25,0.2322,-0.0172,-0.01205
0.26,0.2322,-0.0172,-0.0005
0.27,0.286,-0.0172,-0.0098
0.28,0.3397,-0.0172,-0.0098
0.29,0.3397,-0.0172,-0.0098
0.3,0.3397,-0.017,-0.01
0.31,0.3397,-0.0172,-0.0098
0.32,0.3427,-0.0172,-0.0098
0.33,0.2926,-0.0172,-0.0098
0.34,0.2926,-0.0172,-0.0098
0.35,0.2426,-0.0172,-0.0098
0.36,0.1861,-0.0172,-0.0098
0.37,0.1861,-0.0172,-0.0098
0.38,0.1296,-0.0172,-0.0098
0.39,0.1893,-0.017,-0.0098
0.4,0.249,-0.017,-0.01
0.41,0.2494,-0.0172,-0.01
0.42,0.2494,-0.0172,-0.0098
0.43,0.2494,-0.0172,-0.0098
0.44,0.2494,-0.0172,-0.0098
0.45,0.2494,-0.0172,-0.0098
0.46,0.2494,-0.0172,-0.0098
0.47,0.2494,-0.0172,-0.0098
0.48,0.2494,-0.0172,-0.0098
0.49,0.2494,-0.0172,-0.0191
0.5,0.2997,-0.0172,-0.02015
