t,u,v,w
0.02,0.4147,-0.0159,-0.0348
0.03,0.4147,-0.0159,-0.0348
0.04,0.4147,-0.016,-0.0383
0.05,0.4147,-0.0159,-0.0383
0.06,0.4198,-0.018,-0.0383
0.07,0.4198,-0.018,-0.0383
0.08,0.42,-0.018,-0.0418
0.09,0.4198,-0.02,-0.0125
0.1,0.4198,0.06,-0.02
0.11,0.42,0.14,-0.02
0.12,0.4198,0.1398,-0.02
0.13,0.4198,0.1398,-0.02
0.14,0.4198,0.1398,-0.0275
0.15,0.4198,0.1398,-0.062
0.16,0.42,0.1398,-0.0408
0.17,0.4198,0.1816,-0.0197
0.18,0.4198,0.2235,-0.0343
0.19,0.42,0.1474,0.0234
0.2,0.4198,0.1474,0.0226
0.21,0.42,0.1474,0.023
0.22,0.4198,0.1474,0.0226
0.23,0.42,0.0819,0.0226
0.24,0.4198,0.0164,0.0226
0.25,0.4198,0.0164,0.0226
0.26,0.42,0.0164,0.023
0.27,0.4198,0.0164,0.0226
0.28,0.42,0.0164,0.0219
0.29,0.4198,0.0164,0.0088
0.3,0.4198,0.0164,-0.0043
0.31,0.4198,0.0374,-0.0473
0.32,0.4198,-0.0053,-0.0347
0.33,0.42,-0.0053,-0.0221
0.34,0.4198,-0.0053,-0.0288
0.35,0.4198,-0.0053,-0.0288
0.36,0.4198,-0.0053,-0.0355
0.37,0.4248,-0.048,-0.0381
0.38,0.4024,0.0149,-0.0334
0.39,0.38,0.0778,-0.0442
0.4,0.3999,0.1407,-0.0551
0.41,0.3999,0.2036,-0.0515
0.42,0.3999,0.301,-0.0515
0.43,0.41,0.3984,-0.0479
0.44,0.4197,0.3414,-0.0293
0.45,0.5114,0.2844,-0.0241
0.46,0.5114,0.2275,-0.0189
0.47,0.5114,0.1706,-0.0088
0.48,0.489,0.1136,-0.0088
0.49,0.489,0.0567,0.0013
0.5,0.4664,-0.0003,0.0014
0.51,0.4664,-0.0003,0.0016
0.52,0.4442,-0.0003,-0.0068
0.53,0.424,-0.0003,-0.0018
0.54,0.424,-0.0003,-0.0018
0.55,0.424,-0.0003,0.0032
0.56,0.4038,-0.0305,-0.0364
0.57,0.4574,-0.045,-0.0309
0.58,0.4574,-0.0594,-0.0472
0.59,0.4574,-0.0594,-0.0276
0.6,0.5111,-0.0594,-0.0079
0.61,0.4376,-0.0594,-0.0171
0.62,0.4732,0.0197,-0.043
0.63,0.4744,0.0608,-0.043
0.64,0.4636,0.0608,-0.0688
0.65,0.4636,0.102,-0.0202
0.66,0.4636,0.041,-0.0461
0.67,0.4636,-0.0201,-0.0721
0.68,0.4636,0.0082,-0.024
0.69,0.4529,0.0082,-0.0142
0.7,0.4456,0.0082,0.0008
0.71,0.4456,0.0082,0.008
0.72,0.4456,0.0082,0.008
0.73,0.4456,0.0082,0.0159
0.74,0.4384,0.0082,0.0074
0.75,0.3849,0.008,-0.001
0.76,0.3849,0.0082,0.0177
0.77,0.454,0.0082,0.0177
0.78,0.5225,0.0082,0.0364
0.79,0.5225,0.0082,0.0131
0.8,0.5225,0.0366,-0.0102
0.81,0.5225,-0.0124,-0.037
0.82,0.522,-0.0124,-0.0638
0.83,0.5225,-0.0124,-0.0032
0.84,0.5225,-0.0124,-0.033
0.85,0.5924,-0.0124,0.0027
0.86,0.6623,-0.0124,0.0384
0.87,0.611,-0.0124,0.0384
0.88,0.611,-0.0615,0.0384
