t,u,v,w,cor_u,cor_v,cor_w
0.02,0.4147,-0.0159,-0.0348,83.0,74.0,90.0
0.03,0.4147,-0.0159,-0.0348,83.0,74.0,90.0
0.04,0.4147,-0.0159,-0.0383,83.0,74.0,92.0
0.05,0.4147,-0.0159,-0.0383,83.0,74.0,92.0
0.06,0.41975,-0.01795,-0.0383,85.0,77.5,92.0
0.07,0.41975,-0.01795,-0.0383,85.0,77.5,92.0
0.08,0.41975,-0.01795,-0.0418,85.0,77.5,94.0
0.09,0.41975,-0.02,-0.0125,85.0,81.0,75.0
0.1,0.41975,0.13979999999999998,-0.02,85.0,81.5,79.5
0.11,0.41975,0.13979999999999998,-0.02,85.0,81.5,79.5
0.12,0.41975,0.13979999999999998,-0.02,85.0,81.5,79.5
0.13,0.41975,0.13979999999999998,-0.02,85.0,81.5,79.5
0.14,0.41975,0.13979999999999998,-0.0275,85.0,81.5,84.0
0.15,0.41975,0.13979999999999998,-0.062,85.0,81.5,82.0
0.16,0.41975,0.13979999999999998,-0.04085,85.0,81.5,86.0
0.17,0.41975,0.2996,-0.0197,85.0,82.0,90.0
0.18,0.41975,0.14745,-0.0343,85.0,77.5,84.0
0.19,0.41975,0.14745,0.0234,85.0,77.5,75.0
0.2,0.41975,0.14745,0.02265,85.0,77.5,73.0
0.21,0.41975,0.14745,0.02265,85.0,77.5,73.0
0.22,0.41975,0.14745,0.02265,85.0,77.5,73.0
0.23,0.41975,-0.0047,0.02265,85.0,73.0,73.0
0.24,0.41975,0.01635,0.02265,85.0,76.0,73.0
0.25,0.41975,0.01635,0.02265,85.0,76.0,73.0
0.26,0.41975,0.01635,0.02265,85.0,76.0,73.0
0.27,0.41975,0.01635,0.02265,85.0,76.0,73.0
0.28,0.41975,0.01635,0.0219,85.0,76.0,71.0
0.29,0.41975,0.01635,0.008799999999999999,85.0,76.0,79.5
0.3,0.41975,0.01635,-0.0043,85.0,76.0,88.0
0.31,0.41975,0.0374,-0.0473,85.0,79.0,82.0
0.32,0.41975,-0.005299999999999999,-0.0347,85.0,77.5,81.5
0.33,0.41975,-0.005299999999999999,-0.0221,85.0,77.5,81.0
0.34,0.41975,-0.005299999999999999,-0.0288,85.0,77.5,86.5
0.35,0.41975,-0.005299999999999999,-0.0288,85.0,77.5,86.5
0.36,0.41975,-0.005299999999999999,-0.0355,85.0,77.5,92.0
0.37,0.4248,-0.048,-0.0381,87.0,76.0,84.0
0.38,0.4024,0.20365,-0.0334,78.5,74.0,86.0
0.39,0.38,0.20365,-0.04425,70.0,74.0,85.0
0.4,0.39985000000000004,0.20365,-0.0551,73.5,74.0,84.0
0.41,0.39985000000000004,0.20365,-0.051500000000000004,73.5,74.0,90.0
0.42,0.39985000000000004,0.4553,-0.051500000000000004,73.5,72.0,90.0
0.43,0.39985000000000004,0.03,-0.0479,73.5,77.0,96.0
0.44,0.4197,-0.0002500000000000002,-0.0293,77.0,74.0,76.0
0.45,0.51145,-0.0002500000000000002,-0.0241,77.5,74.0,77.5
0.46,0.51145,-0.0002500000000000002,-0.0189,77.5,74.0,79.0
0.47,0.51145,-0.0002500000000000002,-0.0088,77.5,74.0,75.0
0.48,0.6032,-0.0002500000000000002,-0.0088,78.0,74.0,75.0
0.49,0.4885,-0.0002500000000000002,0.0013,75.0,74.0,71.0
0.5,0.46635,-0.0002500000000000002,0.00145,77.5,74.0,70.5
0.51,0.46635,-0.0002500000000000002,0.0016,77.5,74.0,70.0
0.52,0.4442,-0.0002500000000000002,-0.0068,80.0,74.0,77.0
0.53,0.424,-0.0002500000000000002,-0.0017999999999999997,83.5,74.0,79.0
0.54,0.424,-0.0002500000000000002,-0.0017999999999999997,83.5,74.0,79.0
0.55,0.424,-0.0002500000000000002,0.0032,83.5,74.0,81.0
0.56,0.4038,-0.0305,-0.0364,87.0,71.0,80.0
0.57,0.45745,-0.1386,-0.0309,89.5,81.0,78.0
0.58,0.45745,-0.05945,-0.0472,89.5,77.5,91.0
0.59,0.45745,-0.05945,-0.027549999999999998,89.5,77.5,80.5
0.6,0.5111,-0.05945,-0.0079,92.0,77.5,70.0
0.61,0.4376,-0.05945,-0.0171,72.0,77.5,80.0
0.62,0.4732,0.0197,-0.04295,84.0,74.0,81.0
0.63,0.4744,0.060849999999999994,-0.04295,81.0,76.0,81.0
0.64,0.46365,0.060849999999999994,-0.0688,79.0,76.0,82.0
0.65,0.46365,0.102,-0.0202,79.0,78.0,82.0
0.66,0.46365,0.04095,-0.04615,79.0,77.5,82.0
0.67,0.46365,-0.0201,-0.0721,79.0,77.0,82.0
0.68,0.46365,0.00825,-0.024,79.0,78.5,97.0
0.69,0.4529,0.00825,-0.0142,77.0,78.5,80.0
0.7,0.44565,0.00825,0.0008500000000000001,76.0,78.5,87.5
0.71,0.44565,0.00825,0.0008500000000000001,76.0,78.5,87.5
0.72,0.44565,0.00825,0.0008500000000000001,76.0,78.5,87.5
0.73,0.44565,0.00825,0.0159,76.0,78.5,95.0
0.74,0.4384,0.00825,0.00745,75.0,78.5,87.0
0.75,0.3849,0.00825,-0.001,75.5,78.5,79.0
0.76,0.3849,0.00825,0.0177,75.5,78.5,76.5
0.77,0.3314,0.00825,0.0177,76.0,78.5,76.5
0.78,0.5225,0.00825,0.0364,74.5,78.5,74.0
0.79,0.5225,0.00825,-0.0669,74.5,78.5,83.0
0.8,0.5225,0.0366,-0.0102,74.5,80.0,73.0
0.81,0.5225,-0.01245,-0.037,74.5,83.5,79.5
0.82,0.5225,-0.01245,-0.0638,74.5,83.5,86.0
0.83,0.5225,-0.01245,-0.0032,74.5,83.5,82.0
0.84,0.5225,-0.01245,-0.033,74.5,83.5,84.0
0.85,0.7136,-0.01245,0.0661,73.0,83.5,73.0
0.86,0.61095,-0.01245,0.03835,72.5,83.5,84.0
0.87,0.61095,-0.01245,0.03835,72.5,83.5,84.0
0.88,0.61095,-0.0615,0.03835,72.5,87.0,84.0
0.89,0.61095,-0.04525,0.0106,72.5,86.0,95.0
0.9,0.61095,-0.04525,-0.0255,72.5,86.0,86.0
0.91,0.5083,-0.04525,-0.0085,72.0,86.0,91.0
0.92,0.47114999999999996,-0.04525,-0.0106,74.0,86.0,88.0
0.93,0.47114999999999996,-0.04525,-0.0106,74.0,86.0,88.0
0.94,0.47114999999999996,-0.04525,-0.0106,74.0,86.0,88.0
0.95,0.47114999999999996,-0.04525,-0.0127,74.0,86.0,85.0
0.96,0.434,-0.04525,-0.0071,76.0,86.0,86.0
0.97,0.4424,-0.04525,-0.0094,72.0,86.0,71.0
0.98,0.41585,-0.04525,-0.0101,74.0,86.0,70.0
0.99,0.3893,-0.029,-0.0411,76.0,85.0,92.0
1.0,0.4336,-0.0741,-0.0294,79.5,79.0,94.5
1.01,0.4336,-0.1192,-0.0294,79.5,73.0,94.5
1.02,0.4336,-0.0613,-0.0294,79.5,76.0,94.5
1.03,0.4336,-0.0613,-0.0294,79.5,76.0,94.5
1.04,0.4336,-0.0613,-0.0294,79.5,76.0,94.5
1.05,0.4336,-0.0613,-0.0294,79.5,76.0,94.5
1.06,0.4336,-0.0613,-0.0294,79.5,76.0,94.5
1.07,0.4779,-0.0613,-0.0177,83.0,76.0,97.0
1.08,0.4274,-0.0613,-0.0198,86.0,76.0,84.0
1.09,0.44184999999999997,-0.0613,-0.0208,81.0,76.0,89.0
1.1,0.44184999999999997,-0.0613,-0.0091,81.0,76.0,74.0
1.11,0.4563,-0.0613,0.0153,76.0,76.0,79.5
1.12,0.43489999999999995,-0.0613,0.0397,81.0,76.0,85.0
1.13,0.43489999999999995,-0.0034,-0.0807,81.0,79.0,85.0
1.14,0.43489999999999995,-0.01585,-0.07385,81.0,77.5,81.5
1.15,0.43489999999999995,-0.01585,-0.067,81.0,77.5,78.0
1.16,0.43489999999999995,-0.01585,-0.0074,81.0,77.5,82.0
1.17,0.43489999999999995,-0.01585,0.0063,81.0,77.5,74.0
1.18,0.43489999999999995,-0.01585,-0.0991,81.0,77.5,74.0
1.19,0.43489999999999995,-0.01585,-0.04,81.0,77.5,90.0
1.2,0.43489999999999995,-0.01585,-0.02275,81.0,77.5,91.5
1.21,0.43489999999999995,-0.01585,-0.02275,81.0,77.5,91.5
1.22,0.43489999999999995,-0.01585,-0.0055,81.0,77.5,93.0
1.23,0.43489999999999995,-0.01585,0.0084,81.0,77.5,74.0
1.24,0.43489999999999995,-0.01585,0.00745,81.0,77.5,80.5
1.25,0.43489999999999995,-0.0283,0.0065,81.0,76.0,87.0
1.26,0.43489999999999995,0.0253,0.0138,81.0,72.0,81.0
1.27,0.43489999999999995,0.0052,0.0138,81.0,73.0,81.0
1.28,0.43489999999999995,0.0052,0.0211,81.0,73.0,75.0
1.29,0.43489999999999995,-0.0149,-0.0187,81.0,74.0,70.0
1.3,0.43489999999999995,-0.0091,-0.0262,81.0,98.0,95.0
1.31,0.4135,-0.0052,-0.029,86.0,70.0,73.0
1.32,0.43179999999999996,0.2703,-0.0119,83.5,82.0,72.0
1.33,0.43179999999999996,0.06889999999999999,0.0052,83.5,87.5,71.0
1.34,0.43179999999999996,-0.1325,-0.0486,83.5,93.0,95.0
1.35,0.4501,-0.0862,-0.022099999999999998,81.0,85.0,90.5
1.36,0.5482,-0.0862,0.0044,71.0,85.0,86.0
1.37,0.4853,-0.0862,-0.0060999999999999995,72.0,85.0,83.0
1.38,0.49275,-0.0862,-0.0060999999999999995,77.0,85.0,83.0
1.39,0.49275,-0.0399,-0.0166,77.0,77.0,80.0
1.4,0.49275,-0.035,-0.00835,77.0,77.0,76.5
1.41,0.5002,-0.034100000000000005,-0.0001,82.0,76.0,73.0
1.42,0.45445,-0.034100000000000005,-0.0133,83.0,76.0,76.5
1.43,0.45445,-0.034100000000000005,-0.0133,83.0,76.0,76.5
