t,u,v,w,snr_u,snr_v,snr_w
0.02,0.4147,-0.0159,-0.0348,16.0,16.5,17.9
0.03,0.4147,-0.0159,-0.0348,18.0,18.6,21.2
0.04,0.4147,-0.016,-0.0383,15.5,19.8,17.4
0.05,0.4147,-0.0159,-0.0383,21.8,21.0,19.9
0.06,0.41975,-0.01795,-0.0383,18.4,16.9,17.6
0.07,0.41975,-0.01795,-0.0383,15.2,16.8,15.2
0.08,0.42,-0.01795,-0.0418,17.9,18.8,22.5
0.09,0.41975,-0.02,-0.0125,20.6,23.4,21.1
0.1,0.41975,0.13979999999999998,-0.02,18.0,18.0,17.6
0.11,0.42,0.14,-0.02,16.85,17.9,21.2
0.12,0.41975,0.13979999999999998,-0.02,15.7,17.8,18.4
0.13,0.41975,0.13979999999999998,-0.02,20.1,15.9,19.5
0.14,0.41975,0.13979999999999998,-0.0275,16.1,15.1,19.4
0.15,0.41975,0.13979999999999998,-0.062,18.7,19.2,18.0
0.16,0.42,0.13979999999999998,-0.04085,18.5,16.5,15.9
0.17,0.41975,0.2996,-0.0197,18.3,21.2,22.6
0.18,0.41975,0.14745,-0.0343,20.0,17.1,19.5
0.19,0.42,0.14745,0.0234,19.15,16.8,20.8
0.2,0.41975,0.14745,0.02265,18.3,22.4,19.9
0.21,0.42,0.14745,0.023,17.85,18.1,19.05
0.22,0.41975,0.14745,0.02265,17.4,18.6,18.2
0.23,0.42,-0.0047,0.02265,17.6,21.9,20.6
0.24,0.41975,0.01635,0.02265,17.8,20.8,16.8
0.25,0.41975,0.01635,0.02265,18.5,19.3,18.4
0.26,0.42,0.01635,0.023,17.8,18.0,16.8
0.27,0.41975,0.01635,0.02265,17.1,15.8,15.2
0.28,0.42,0.01635,0.0219,16.75,16.9,17.4
0.29,0.41975,0.01635,0.008799999999999999,16.4,19.7,20.5
0.3,0.41975,0.01635,-0.0043,19.2,19.9,22.3
0.31,0.41975,0.0374,-0.0473,17.2,22.3,23.2
0.32,0.41975,-0.005299999999999999,-0.0347,16.7,21.9,18.8
0.33,0.42,-0.005299999999999999,-0.0221,19.05,17.4,21.6
0.34,0.41975,-0.005299999999999999,-0.0288,21.4,20.1,17.3
0.35,0.41975,-0.005299999999999999,-0.0288,17.8,17.8,18.2
0.36,0.41975,-0.005299999999999999,-0.0355,18.2,21.6,23.6
0.37,0.4248,-0.048,-0.0381,22.4,20.6,22.1
0.38,0.4024,0.20365,-0.0334,20.7,18.9,23.5
0.39,0.38,0.20365,-0.04425,19.7,20.0,17.9
0.4,0.39985000000000004,0.20365,-0.0551,17.1,20.4,18.5
0.41,0.39985000000000004,0.20365,-0.051500000000000004,15.7,17.8,16.1
0.42,0.39985000000000004,0.4553,-0.051500000000000004,15.8,15.2,17.1
0.43,0.41,0.03,-0.0479,18.6,19.6,23.8
0.44,0.4197,-0.0002500000000000002,-0.0293,21.4,22.5,17.3
0.45,0.51145,-0.0002500000000000002,-0.0241,19.2,20.6,17.8
0.46,0.51145,-0.0,-0.0189,16.3,20.2,15.2
0.47,0.51145,-0.0002500000000000002,-0.0088,17.6,19.8,18.2
0.48,0.489,-0.0,-0.0088,17.1,17.6,16.8
0.49,0.489,-0.0002500000000000002,0.0013,17.1,15.4,18.4
0.5,0.46635,-0.0002500000000000002,0.00145,16.6,17.7,16.1
0.51,0.46635,-0.0002500000000000002,0.0016,17.2,18.4,19.3
0.52,0.4442,-0.0002500000000000002,-0.0068,18.1,17.3,19.5
0.53,0.424,-0.0002500000000000002,-0.0017999999999999997,15.8,18.8,18.4
0.54,0.424,-0.0002500000000000002,-0.0017999999999999997,19.4,18.8,15.3
0.55,0.424,-0.0002500000000000002,0.0032,18.3,18.0,18.9
0.56,0.4038,-0.0305,-0.0364,21.3,22.2,23.4
0.57,0.45745,-0.1386,-0.0309,19.6,22.7,19.3
0.58,0.45745,-0.05945,-0.0472,20.7,18.3,19.2
0.59,0.45745,-0.05945,-0.027549999999999998,17.3,16.6,16.7
0.6,0.5111,-0.05945,-0.0079,18.2,19.1,19.4
0.61,0.4376,-0.05945,-0.0171,19.7,22.3,21.6
0.62,0.4732,0.0197,-0.04295,19.9,23.0,22.6
0.63,0.4744,0.060849999999999994,-0.04295,20.2,20.6,15.9
0.64,0.46365,0.060849999999999994,-0.0688,17.0,20.0,16.8
0.65,0.46365,0.102,-0.0202,15.9,23.2,21.7
0.66,0.46365,0.04095,-0.04615,17.7,18.6,16.9
0.67,0.46365,-0.0201,-0.0721,16.4,17.8,21.6
0.68,0.46365,0.00825,-0.024,18.7,21.8,23.5
0.69,0.4529,0.00825,-0.0142,21.6,21.2,17.4
0.7,0.44565,0.00825,0.0008500000000000001,18.1,20.1,17.2
0.71,0.44565,0.00825,0.008,16.5,16.4,20.3
0.72,0.44565,0.00825,0.008,15.8,16.8,20.3
0.73,0.44565,0.00825,0.0159,15.9,21.3,23.4
0.74,0.4384,0.00825,0.00745,21.3,21.3,16.3
0.75,0.3849,0.008,-0.001,18.6,19.35,20.2
0.76,0.3849,0.00825,0.0177,18.7,17.4,16.7
