t,u,v,w,backup_u,backup_v,backup_w,snr_u,snr_v,snr_w,cor_u,cor_v,cor_w
0.02,0.3093,-0.0332,-0.0236,0.3093,-0.0332,0.0333,23.0,22.9,22.8,95.0,82.0,80.0
0.03,0.3298,-0.0156,-0.0236,0.3412,-0.0636,0.0001,21.0,16.1,18.0,82.5,80.0,80.0
0.04,0.3298,-0.0156,-0.0236,0.448,-0.0373,-0.0062,19.0,19.8,18.4,82.5,80.0,80.0
0.05,0.3298,-0.0156,-0.0236,0.3942,-0.1087,0.0714,17.5,15.3,17.6,82.5,80.0,80.0
0.06,0.3298,-0.0156,-0.0236,0.1521,0.064,0.0802,19.5,17.1,17.0,82.5,80.0,80.0
0.07,0.3298,-0.0156,-0.0236,0.2542,-0.0034,0.0354,19.4,20.0,17.7,82.5,80.0,80.0
0.08,0.3298,-0.0156,-0.0236,0.2247,0.2839,0.0363,17.8,18.2,19.8,82.5,80.0,80.0
0.09,0.3503,0.002,-0.0236,0.3503,0.002,0.0393,19.4,21.2,22.2,70.0,78.0,80.0
0.1,0.2929,-0.0027,-0.0236,0.2427,-0.0027,0.0295,22.1,20.6,17.6,71.0,72.0,80.0
0.11,0.2354,0.0074,-0.0236,0.0636,0.0553,0.0517,19.0,16.5,16.7,71.0,74.0,80.0
0.12,0.2354,0.0074,-0.0236,0.4671,-0.0823,0.0119,17.8,19.2,22.5,71.0,74.0,80.0
0.13,0.2832,0.0176,-0.0236,0.1206,0.0176,0.0322,22.7,22.4,18.8,72.0,76.0,80.0
0.14,0.3309,-0.0185,-0.0236,0.3309,0.07,-0.0028,17.9,15.1,20.1,75.0,78.5,80.0
0.15,0.3839,-0.0547,-0.0236,0.3839,-0.0547,-0.0053,20.5,18.4,22.3,73.0,81.0,80.0
0.16,0.3932,-0.0656,-0.0236,0.1835,-0.0656,0.0236,21.3,20.2,18.0,83.5,77.0,80.0
