t,u,v,w,backup_u,backup_v,backup_w,snr_u,snr_v,snr_w,cor_u,cor_v,cor_w
0.02,0.4147,-0.0159,-0.0348,0.5225,0.1661,-0.0238,16.0,16.5,17.9,83.0,74.0,90.0
0.03,0.4147,-0.0159,-0.0348,0.4509,-0.0257,-0.0348,18.0,18.6,21.2,83.0,74.0,90.0
0.04,0.4147,-0.016,-0.0383,0.4569,-0.1056,-0.0252,15.5,19.8,17.4,83.0,74.0,92.0
0.05,0.4147,-0.0159,-0.0383,0.4147,-0.0159,-0.0283,21.8,21.0,19.9,83.0,74.0,92.0
0.06,0.4198,-0.018,-0.0383,0.612,0.0322,0.0206,18.4,16.9,17.6,85.0,77.5,92.0
0.07,0.4198,-0.018,-0.0383,0.6939,0.4,-0.0648,15.2,16.8,15.2,85.0,77.5,92.0
0.08,0.42,-0.018,-0.0418,0.3704,0.0154,-0.0418,17.9,18.8,22.5,85.0,77.5,94.0
0.09,0.4198,-0.02,-0.0125,0.5206,-0.02,-0.0125,20.6,23.4,21.1,85.0,81.0,75.0
0.1,0.4198,0.06,-0.02,0.118,-0.1,-0.0965,18.0,18.0,17.6,85.0,81.5,79.5
0.11,0.42,0.14,-0.02,0.5861,0.1161,0.0534,16.85,17.9,21.2,85.0,81.5,79.5
0.12,0.4198,0.1398,-0.02,0.4964,0.2111,0.0074,15.7,17.8,18.4,85.0,81.5,79.5
0.13,0.4198,0.1398,-0.02,0.4764,-0.0809,-0.0049,20.1,15.9,19.5,85.0,81.5,79.5
0.14,0.4198,0.1398,-0.0275,0.4157,0.049,-0.0275,16.1,15.1,19.4,85.0,81.5,84.0
0.15,0.4198,0.1398,-0.062,0.2487,0.1641,-0.062,18.7,19.2,18.0,85.0,81.5,82.0
0.16,0.42,0.1398,-0.0408,0.4395,-0.0177,-0.018,18.5,16.5,15.9,85.0,81.5,86.0
0.17,0.4198,0.1816,-0.0197,0.4373,0.2996,-0.0197,18.3,21.2,22.6,85.0,82.0,90.0
0.18,0.4198,0.2235,-0.0343,0.3746,0.0664,-0.0343,20.0,17.1,19.5,85.0,77.5,84.0
0.19,0.42,0.1474,0.0234,0.5371,0.074,0.0234,19.15,16.8,20.8,85.0,77.5,75.0
0.2,0.4198,0.1474,0.0226,0.4948,-0.009,-0.003,18.3,22.4,19.9,85.0,77.5,73.0
0.21,0.42,0.1474,0.023,0.6541,-0.0425,0.0357,17.85,18.1,19.05,85.0,77.5,73.0
0.22,0.4198,0.1474,0.0226,0.6562,0.0648,0.0272,17.4,18.6,18.2,85.0,77.5,73.0
0.23,0.42,0.0819,0.0226,0.5851,-0.0047,0.0345,17.6,21.9,20.6,85.0,73.0,73.0
0.24,0.4198,0.0164,0.0226,0.4985,-0.2253,-0.0283,17.8,20.8,16.8,85.0,76.0,73.0
0.25,0.4198,0.0164,0.0226,0.3638,0.0071,-0.0593,18.5,19.3,18.4,85.0,76.0,73.0
0.26,0.42,0.0164,0.023,0.1647,-0.1729,-0.0742,17.8,18.0,16.8,85.0,76.0,73.0
0.27,0.4198,0.0164,0.0226,0.6516,0.1423,0.0625,17.1,15.8,15.2,85.0,76.0,73.0
0.28,0.42,0.0164,0.0219,0.5326,0.3016,0.0219,16.75,16.9,17.4,85.0,76.0,71.0
0.29,0.4198,0.0164,0.0088,0.6001,-0.0958,0.0256,16.4,19.7,20.5,85.0,76.0,79.5
0.3,0.4198,0.0164,-0.0043,0.4851,0.0246,-0.0043,19.2,19.9,22.3,85.0,76.0,88.0
0.31,0.4198,0.0374,-0.0473,0.4075,0.0374,-0.0473,17.2,22.3,23.2,85.0,79.0,82.0
0.32,0.4198,-0.0053,-0.0347,0.376,0.1152,-0.0465,16.7,21.9,18.8,85.0,77.5,81.5
0.33,0.42,-0.0053,-0.0221,0.4284,-0.0513,-0.0221,19.05,17.4,21.6,85.0,77.5,81.0
0.34,0.4198,-0.0053,-0.0288,0.3913,0.2164,-0.0331,21.4,20.1,17.3,85.0,77.5,86.5
0.35,0.4198,-0.0053,-0.0288,0.4695,0.079,-0.0357,17.8,17.8,18.2,85.0,77.5,86.5
