t,u,v,w,cor_u,cor_v,cor_w
0.02,0.3093,-0.0332,-0.0236,95.0,82.0,80.0
0.03,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.04,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.05,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.06,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.07,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.08,0.3298,-0.0156,-0.0236,82.5,80.0,80.0
0.09,0.3503,0.002,-0.0236,70.0,78.0,80.0
0.1,0.23545,-0.0027,-0.0236,71.0,72.0,80.0
0.11,0.23545,0.00745,-0.0236,71.0,74.0,80.0
0.12,0.23545,0.00745,-0.0236,71.0,74.0,80.0
0.13,0.1206,0.0176,-0.0236,72.0,76.0,80.0
0.14,0.3309,-0.018549999999999997,-0.0236,75.0,78.5,80.0
0.15,0.3839,-0.0547,-0.0236,73.0,81.0,80.0
0.16,0.39325,-0.0656,-0.0236,83.5,77.0,80.0
0.17,0.39325,-0.011200000000000002,-0.0236,83.5,74.5,80.0
0.18,0.39325,0.0432,-0.0236,83.5,72.0,80.0
0.19,0.39325,-0.0295,-0.0236,83.5,76.0,80.0
0.2,0.39325,-0.02135,-0.0236,83.5,77.0,80.0
0.21,0.39325,-0.0132,-0.0236,83.5,78.0,80.0
0.22,0.4026,-0.03,-0.01205,94.0,90.0,78.0
0.23,0.1278,-0.017249999999999998,-0.01205,77.0,92.5,78.0
0.24,0.23225,-0.017249999999999998,-0.01205,75.0,92.5,78.0
0.25,0.23225,-0.017249999999999998,-0.01205,75.0,92.5,78.0
0.26,0.23225,-0.017249999999999998,-0.0005,75.0,92.5,76.0
0.27,0.3367,-0.017249999999999998,-0.0098,73.0,92.5,77.0
0.28,0.3397,-0.017249999999999998,-0.0098,75.0,92.5,77.0
0.29,0.3397,-0.017249999999999998,-0.0098,75.0,92.5,77.0
0.3,0.3397,-0.017249999999999998,-0.0098,75.0,92.5,77.0
0.31,0.3397,-0.017249999999999998,-0.0098,75.0,92.5,77.0
0.32,0.3427,-0.017249999999999998,-0.0098,77.0,92.5,77.0
0.33,0.29265,-0.017249999999999998,-0.0098,74.0,92.5,77.0
0.34,0.29265,-0.017249999999999998,-0.0098,74.0,92.5,77.0
0.35,0.2426,-0.017249999999999998,-0.0098,71.0,92.5,77.0
0.36,0.1861,-0.017249999999999998,-0.0098,71.0,92.5,77.0
0.37,0.1861,-0.017249999999999998,-0.0098,71.0,92.5,77.0
0.38,0.1296,-0.017249999999999998,-0.0098,71.0,92.5,77.0
0.39,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.4,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.41,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.42,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.43,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.44,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.45,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.46,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
0.47,0.24939999999999998,-0.017249999999999998,-0.0098,75.5,92.5,77.0
