t,u,v,w,snr_u,snr_v,snr_w
0.02,0.3093,-0.0332,-0.0236,23.0,22.9,22.8
0.03,0.3298,-0.0156,-0.0236,21.0,16.1,18.0
0.04,0.3298,-0.0156,-0.0236,19.0,19.8,18.4
0.05,0.3298,-0.0156,-0.0236,17.5,15.3,17.6
0.06,0.3298,-0.0156,-0.0236,19.5,17.1,17.0
0.07,0.3298,-0.0156,-0.0236,19.4,20.0,17.7
0.08,0.3298,-0.0156,-0.0236,17.8,18.2,19.8
0.09,0.3503,0.002,-0.0236,19.4,21.2,22.2
0.1,0.23545,-0.0027,-0.0236,22.1,20.6,17.6
0.11,0.23545,0.00745,-0.0236,19.0,16.5,16.7
0.12,0.23545,0.00745,-0.0236,17.8,19.2,22.5
0.13,0.1206,0.0176,-0.0236,22.7,22.4,18.8
0.14,0.3309,-0.018549999999999997,-0.0236,17.9,15.1,20.1
0.15,0.3839,-0.0547,-0.0236,20.5,18.4,22.3
0.16,0.39325,-0.0656,-0.0236,21.3,20.2,18.0
0.17,0.39325,-0.011,-0.0236,17.9,19.55,16.7
0.18,0.393,0.0432,-0.0236,18.6,18.9,20.5
0.19,0.39325,-0.0295,-0.0236,19.3,21.3,19.3
0.2,0.39325,-0.02135,-0.0236,15.9,16.5,16.2
0.21,0.39325,-0.0132,-0.0236,21.6,20.4,23.6
0.22,0.4026,-0.03,-0.01205,23.2,22.9,22.6
0.23,0.1278,-0.017249999999999998,-0.01205,22.2,20.7,19.2
0.24,0.23225,-0.017,-0.01205,17.6,20.65,15.3
0.25,0.23225,-0.017249999999999998,-0.01205,19.8,20.6,18.4
0.26,0.23225,-0.017249999999999998,-0.0005,17.4,20.1,22.6
0.27,0.3367,-0.017249999999999998,-0.0098,21.2,19.6,16.4
0.28,0.3397,-0.017249999999999998,-0.0098,17.7,16.5,18.2
0.29,0.3397,-0.017249999999999998,-0.0098,15.8,20.5,18.4
0.3,0.3397,-0.017,-0.01,17.7,18.1,18.85
0.31,0.3397,-0.017249999999999998,-0.0098,17.4,15.7,19.3
0.32,0.3427,-0.017249999999999998,-0.0098,15.3,18.9,15.7
0.33,0.29265,-0.017249999999999998,-0.0098,16.1,18.6,17.6
0.34,0.29265,-0.017249999999999998,-0.0098,18.9,19.3,22.1
0.35,0.2426,-0.017249999999999998,-0.0098,22.2,21.6,19.7
0.36,0.1861,-0.017249999999999998,-0.0098,20.3,20.8,21.5
0.37,0.1861,-0.017249999999999998,-0.0098,20.2,17.9,21.3
0.38,0.1296,-0.017249999999999998,-0.0098,22.3,17.3,16.3
0.39,0.24939999999999998,-0.017,-0.0098,15.1,16.2,15.6
0.4,0.249,-0.017,-0.01,16.2,16.2,15.6
0.41,0.24939999999999998,-0.017249999999999998,-0.01,17.3,15.1,15.6
0.42,0.24939999999999998,-0.017249999999999998,-0.0098,16.6,15.1,15.6
0.43,0.24939999999999998,-0.017249999999999998,-0.0098,18.9,20.8,15.2
0.44,0.24939999999999998,-0.017249999999999998,-0.0098,17.4,15.9,20.0
0.45,0.24939999999999998,-0.017249999999999998,-0.0098,18.5,18.5,19.8
0.46,0.24939999999999998,-0.017249999999999998,-0.0098,15.6,17.9,21.2
0.47,0.24939999999999998,-0.017249999999999998,-0.0098,18.9,18.1,17.1
0.48,0.24939999999999998,-0.017249999999999998,-0.0098,16.6,17.5,15.2
0.49,0.24939999999999998,-0.017249999999999998,-0.0191,19.6,20.2,21.5
0.5,0.3692,-0.017249999999999998,-0.02015,21.8,21.9,23.1
0.51,0.34995,-0.017249999999999998,-0.02015,21.0,18.3,20.3
0.52,0.34995,-0.0045,-0.0212,19.1,23.5,22.6
