t,u,v,w
0.02,0.0333,-0.0156,-0.01205
0.03,0.0363,-0.0041,-0.01205
0.04,0.0363,-0.0041,-0.01205
0.05,0.0363,-0.0041,-0.01205
0.06,0.0363,-0.0041,-0.01205
0.07,0.0363,-0.0041,-0.01205
0.08,0.0363,-0.0041,-0.01205
0.09,0.0393,0.0074,-0.01205
0.1,0.0358,0.0074,-0.01205
0.11,0.0358,-0.0236,-0.01205
0.12,0.0358,-0.0236,-0.01205
0.13,0.0322,-0.0547,-0.01205
0.14,-0.0028,-0.0328,-0.01205
0.15,-0.0053,-0.011,-0.01205
0.16,-0.0195,0.0432,-0.01205
0.17,-0.0195,0.011,-0.01205
0.18,-0.02,-0.0214,-0.01205
0.19,-0.0195,-0.0132,-0.01205
0.2,-0.0195,-0.0152,-0.01205
0.21,-0.0195,-0.0172,-0.01205
0.22,-0.0338,-0.017,-0.010925
0.23,0.0263,-0.0099,-0.010925
0.24,0.0218,-0.01,-0.010925
0.25,0.0218,-0.0099,-0.010925
0.26,0.0218,-0.0099,-0.0098
0.27,0.0173,-0.0099,-0.014975
0.28,-0.0105,-0.0099,-0.014975
0.29,-0.0105,-0.0099,-0.014975
0.3,-0.0105,-0.01,-0.015
0.31,-0.0105,-0.0099,-0.014975
0.32,-0.0384,-0.0099,-0.014975
0.33,-0.0184,-0.0099,-0.014975
0.34,-0.0184,-0.0099,-0.014975
0.35,0.0016,-0.0099,-0.014975
0.36,0.029,-0.0099,-0.014975
0.37,0.029,-0.0099,-0.014975
0.38,0.0563,-0.0099,-0.014975
0.39,0.0224,-0.01,-0.014975
0.4,0.022,-0.01,-0.015
0.41,0.0224,-0.0099,-0.015
0.42,0.0224,-0.0099,-0.014975
0.43,0.0224,-0.0099,-0.014975
0.44,0.0224,-0.0099,-0.014975
0.45,0.0224,-0.0099,-0.014975
0.46,0.0224,-0.0099,-0.014975
0.47,0.0224,-0.0099,-0.014975
0.48,0.0224,-0.0099,-0.014975
0.49,0.0224,-0.0099,-0.02015
0.5,-0.0115,-0.0099,-0.020775000000000002
0.51,-0.0025,-0.0099,-0.020775000000000002
0.52,-0.0025,-0.0028,-0.0214
0.53,-0.0025,0.0023,-0.0156
0.54,-0.0025,0.0074,-0.0156
0.55,-0.0025,-0.0257,-0.0156
0.56,-0.0025,-0.0588,-0.0156
0.57,-0.0025,-0.0068,-0.0156
0.58,-0.0025,0.0036,-0.0156
0.59,0.0065,-0.003,-0.0156
0.6,-0.0146,-0.003,-0.0156
0.61,-0.0146,0.0002,-0.0156
0.62,-0.0146,0.0002,-0.0156
0.63,-0.0146,0.0,-0.0156
0.64,-0.0146,0.0002,-0.0156
0.65,-0.0146,0.0002,-0.0156
0.66,-0.0146,0.0035,-0.0156
0.67,-0.0146,-0.0209,-0.0156
0.68,-0.0146,-0.0209,-0.0156
0.69,-0.0146,-0.021,-0.0156
0.7,-0.015,-0.0209,-0.0156
0.71,-0.0146,-0.0209,-0.0156
0.72,-0.015,-0.0209,-0.016
0.73,-0.0146,-0.0209,-0.0156
0.74,-0.0146,-0.0209,-0.0156
0.75,-0.0146,-0.0209,-0.0156
0.76,-0.0146,-0.0209,-0.0156
0.77,-0.0146,-0.0453,-0.0156
0.78,-0.0146,-0.045,-0.0156
0.79,-0.0356,-0.0482,-0.0156
0.8,-0.03,-0.048,-0.016
0.81,-0.0237,-0.048,-0.0156
0.82,-0.0237,-0.0482,-0.0156
0.83,-0.0237,-0.0514,-0.0156
0.84,-0.0237,-0.0238,-0.0156
0.85,-0.0237,-0.0238,-0.0156
0.86,-0.0237,-0.0238,-0.0156
0.87,-0.0237,-0.0238,-0.0156
0.88,-0.0237,-0.0238,-0.0156
0.89,-0.0237,0.0037,-0.0098
0.9,-0.0237,0.0118,-0.024599999999999997
0.91,-0.0237,0.0118,-0.024599999999999997
0.92,-0.0237,0.0118,-0.024599999999999997
0.93,-0.0237,0.012,-0.024599999999999997
0.94,-0.0237,0.0118,-0.025
0.95,-0.0237,0.012,-0.024599999999999997
0.96,-0.0237,0.0118,-0.024599999999999997
0.97,-0.0237,0.012,-0.024599999999999997
0.98,-0.0237,0.0118,-0.024599999999999997
0.99,-0.0237,0.0118,-0.024599999999999997
1.0,-0.024,0.0118,-0.024599999999999997
1.01,-0.0237,0.0198,-0.024599999999999997
1.02,-0.0118,0.0059,-0.024599999999999997
1.03,-0.0049,0.0059,-0.024599999999999997
1.04,-0.0049,0.0059,-0.024599999999999997
1.05,-0.0049,0.0059,-0.024599999999999997
1.06,-0.0049,0.0059,-0.024599999999999997
1.07,-0.0049,-0.008,-0.024599999999999997
1.08,-0.0049,0.0086,-0.024599999999999997
1.09,0.002,0.0251,-0.0394
1.1,0.0138,0.0368,-0.0358
1.11,0.0232,0.0368,-0.0358
1.12,0.0232,0.037,-0.0358
1.13,0.0232,0.0368,-0.0358
1.14,0.023,0.0368,-0.0358
1.15,0.0232,0.0368,-0.0358
1.16,0.0232,0.0368,-0.0358
1.17,0.0232,0.0368,-0.0358
1.18,0.0232,0.0368,-0.0358
1.19,0.0232,0.0368,-0.0358
1.2,0.0232,0.0368,-0.0358
1.21,0.0232,0.0368,-0.0358
1.22,0.0232,0.0368,-0.0358
1.23,0.0326,0.0368,-0.0358
1.24,0.0294,0.0368,-0.0358
1.25,0.0294,0.0368,-0.0358
1.26,0.0263,0.0368,-0.0358
1.27,0.0317,0.037,-0.036
1.28,0.032,0.0368,-0.0358
1.29,0.0317,0.0484,-0.0358
1.3,0.0371,0.0446,-0.0358
1.31,-0.0143,0.0446,-0.0358
1.32,-0.0143,0.0446,-0.0358
1.33,-0.0143,0.0446,-0.0358
1.34,-0.0656,0.0408,-0.0358
1.35,-0.0286,0.0041,-0.0358
1.36,-0.0286,0.0041,-0.0358
1.37,-0.0286,-0.0327,-0.0358
1.38,-0.0286,-0.0268,-0.0358
1.39,-0.0286,-0.0208,-0.0358
1.4,-0.0286,-0.0286,-0.0358
1.41,-0.0286,-0.0286,-0.034
1.42,-0.0286,-0.0286,-0.0322
1.43,-0.0286,-0.0286,-0.01315
1.44,-0.0286,-0.029,-0.01315
1.45,-0.0286,-0.0286,-0.01315
1.46,-0.0286,-0.0286,-0.01315
1.47,-0.0286,-0.0363,-0.01315
1.48,-0.0286,-0.0404,-0.01315
1.49,-0.0286,-0.0446,-0.01315
1.5,-0.0286,-0.0418,-0.01315
1.51,-0.0286,-0.0418,-0.01315
1.52,-0.0286,-0.0418,-0.01315
1.53,-0.0286,-0.0418,-0.01315
1.54,-0.0286,-0.0391,-0.01315
1.55,-0.0286,-0.0233,-0.01315
1.56,-0.0286,-0.0233,-0.01315
1.57,-0.0286,-0.0606,-0.01315
1.58,-0.0286,-0.0606,-0.01315
1.59,-0.029,-0.0606,-0.01315
1.6,-0.0286,-0.0606,-0.01315
