t,u,v,w,backup_u,backup_v,backup_w,snr_u,snr_v,snr_w,cor_u,cor_v,cor_w
0.02,0.0333,-0.0156,-0.01205,0.0333,-0.0156,-0.0236,23.0,22.9,22.8,95.0,82.0,80.0
0.03,0.0363,-0.0041,-0.01205,0.0001,-0.0156,-0.0236,21.0,16.1,18.0,82.5,80.0,80.0
0.04,0.0363,-0.0041,-0.01205,-0.0062,-0.0156,-0.0236,19.0,19.8,18.4,82.5,80.0,80.0
0.05,0.0363,-0.0041,-0.01205,0.0714,-0.0156,-0.0236,17.5,15.3,17.6,82.5,80.0,80.0
0.06,0.0363,-0.0041,-0.01205,0.0802,-0.0156,-0.0236,19.5,17.1,17.0,82.5,80.0,80.0
0.07,0.0363,-0.0041,-0.01205,0.0354,0.002,-0.0236,19.4,20.0,17.7,82.5,80.0,80.0
0.08,0.0363,-0.0041,-0.01205,0.0363,-0.0027,-0.0236,17.8,18.2,19.8,82.5,80.0,80.0
0.09,0.0393,0.0074,-0.01205,0.0393,0.0074,-0.0236,19.4,21.2,22.2,70.0,78.0,80.0
0.1,0.0358,0.0074,-0.01205,0.0295,0.0074,-0.0236,22.1,20.6,17.6,71.0,72.0,80.0
0.11,0.0358,-0.0236,-0.01205,0.0517,0.0176,-0.0236,19.0,16.5,16.7,71.0,74.0,80.0
0.12,0.0358,-0.0236,-0.01205,0.0119,-0.0185,-0.0236,17.8,19.2,22.5,71.0,74.0,80.0
0.13,0.0322,-0.0547,-0.01205,0.0322,-0.0547,-0.0236,22.7,22.4,18.8,72.0,76.0,80.0
0.14,-0.0028,-0.0328,-0.01205,-0.0028,-0.0656,-0.0236,17.9,15.1,20.1,75.0,78.5,80.0
0.15,-0.0053,-0.011,-0.01205,-0.0053,-0.011,-0.0236,20.5,18.4,22.3,73.0,81.0,80.0
0.16,-0.0195,0.0432,-0.01205,0.0236,0.0432,-0.0236,21.3,20.2,18.0,83.5,77.0,80.0
0.17,-0.0195,0.011,-0.01205,0.0105,-0.0295,-0.0236,17.9,19.55,16.7,83.5,74.5,80.0
0.18,-0.02,-0.0214,-0.01205,0.064,-0.0214,-0.0236,18.6,18.9,20.5,83.5,72.0,80.0
0.19,-0.0195,-0.0132,-0.01205,0.0315,-0.0132,-0.0236,19.3,21.3,19.3,83.5,76.0,80.0
0.2,-0.0195,-0.0152,-0.01205,0.0286,-0.03,-0.01205,15.9,16.5,16.2,83.5,77.0,80.0
0.21,-0.0195,-0.0172,-0.01205,-0.0236,-0.0172,-0.01205,21.6,20.4,23.6,83.5,78.0,80.0
