t,u,v,w,cor_u,cor_v,cor_w
0.02,0.0333,-0.0156,-0.01205,95.0,82.0,80.0
0.03,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.04,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.05,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.06,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.07,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.08,0.0363,-0.0040999999999999995,-0.01205,82.5,80.0,80.0
0.09,0.0393,0.0074,-0.01205,70.0,78.0,80.0
0.1,0.035750000000000004,0.0074,-0.01205,71.0,72.0,80.0
0.11,0.035750000000000004,-0.023649999999999997,-0.01205,71.0,74.0,80.0
0.12,0.035750000000000004,-0.023649999999999997,-0.01205,71.0,74.0,80.0
0.13,0.0322,-0.0547,-0.01205,72.0,76.0,80.0
0.14,-0.0028,-0.03285,-0.01205,75.0,78.5,80.0
0.15,-0.0053,-0.011,-0.01205,73.0,81.0,80.0
0.16,-0.019549999999999998,0.0432,-0.01205,83.5,77.0,80.0
0.17,-0.019549999999999998,0.010900000000000002,-0.01205,83.5,74.5,80.0
0.18,-0.019549999999999998,-0.0214,-0.01205,83.5,72.0,80.0
0.19,-0.019549999999999998,-0.0132,-0.01205,83.5,76.0,80.0
0.2,-0.019549999999999998,-0.0152,-0.01205,83.5,77.0,80.0
0.21,-0.019549999999999998,-0.0172,-0.01205,83.5,78.0,80.0
0.22,-0.0338,-0.017,-0.010925,94.0,90.0,78.0
0.23,0.0263,-0.0099,-0.010925,77.0,92.5,78.0
0.24,0.0218,-0.0099,-0.010925,75.0,92.5,78.0
0.25,0.0218,-0.0099,-0.010925,75.0,92.5,78.0
0.26,0.0218,-0.0099,-0.0098,75.0,92.5,76.0
0.27,0.0173,-0.0099,-0.014975,73.0,92.5,77.0
0.28,-0.010549999999999999,-0.0099,-0.014975,75.0,92.5,77.0
0.29,-0.010549999999999999,-0.0099,-0.014975,75.0,92.5,77.0
0.3,-0.010549999999999999,-0.0099,-0.014975,75.0,92.5,77.0
0.31,-0.010549999999999999,-0.0099,-0.014975,75.0,92.5,77.0
0.32,-0.0384,-0.0099,-0.014975,77.0,92.5,77.0
0.33,-0.0184,-0.0099,-0.014975,74.0,92.5,77.0
0.34,-0.0184,-0.0099,-0.014975,74.0,92.5,77.0
0.35,0.0016,-0.0099,-0.014975,71.0,92.5,77.0
0.36,0.02895,-0.0099,-0.014975,71.0,92.5,77.0
0.37,0.02895,-0.0099,-0.014975,71.0,92.5,77.0
0.38,0.0563,-0.0099,-0.014975,71.0,92.5,77.0
0.39,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.4,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.41,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.42,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.43,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.44,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.45,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.46,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.47,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.48,0.022400000000000003,-0.0099,-0.014975,75.5,92.5,77.0
0.49,0.022400000000000003,-0.0099,-0.02015,75.5,92.5,78.0
0.5,-0.0115,-0.0099,-0.020775000000000002,80.0,92.5,75.0
0.51,-0.0025,-0.0099,-0.020775000000000002,78.0,92.5,75.0
0.52,-0.0025,-0.0028,-0.0214,78.0,95.0,72.0
0.53,-0.0025,0.0023,-0.0156,78.0,83.5,71.5
0.54,-0.0025,0.0074,-0.0156,78.0,72.0,71.5
0.55,-0.0025,-0.0257,-0.0156,78.0,74.5,71.5
0.56,-0.0025,-0.0588,-0.0156,78.0,77.0,71.5
0.57,-0.0025,-0.0068,-0.0156,78.0,70.0,71.5
0.58,-0.0025,0.0036,-0.0156,78.0,71.0,71.5
0.59,0.0065,-0.003,-0.0156,76.0,81.0,71.5
0.6,-0.01455,-0.003,-0.0156,73.0,74.0,71.5
0.61,-0.01455,0.00025,-0.0156,73.0,74.5,71.5
0.62,-0.01455,0.00025,-0.0156,73.0,74.5,71.5
0.63,-0.01455,0.00025,-0.0156,73.0,74.5,71.5
0.64,-0.01455,0.00025,-0.0156,73.0,74.5,71.5
0.65,-0.01455,0.00025,-0.0156,73.0,74.5,71.5
0.66,-0.01455,0.0035,-0.0156,73.0,75.0,71.5
0.67,-0.01455,-0.0209,-0.0156,73.0,78.0,71.5
0.68,-0.01455,-0.0209,-0.0156,73.0,78.0,71.5
0.69,-0.01455,-0.0209,-0.0156,73.0,78.0,71.5
