t,u,v,w,snr_u,snr_v,snr_w
0.02,0.0333,-0.0156,-0.01205,23.0,22.9,22.8
0.03,0.0363,-0.0040999999999999995,-0.01205,21.0,16.1,18.0
0.04,0.0363,-0.0040999999999999995,-0.01205,19.0,19.8,18.4
0.05,0.0363,-0.0040999999999999995,-0.01205,17.5,15.3,17.6
0.06,0.0363,-0.0040999999999999995,-0.01205,19.5,17.1,17.0
0.07,0.0363,-0.0040999999999999995,-0.01205,19.4,20.0,17.7
0.08,0.0363,-0.0040999999999999995,-0.01205,17.8,18.2,19.8
0.09,0.0393,0.0074,-0.01205,19.4,21.2,22.2
0.1,0.035750000000000004,0.0074,-0.01205,22.1,20.6,17.6
0.11,0.035750000000000004,-0.023649999999999997,-0.01205,19.0,16.5,16.7
0.12,0.035750000000000004,-0.023649999999999997,-0.01205,17.8,19.2,22.5
0.13,0.0322,-0.0547,-0.01205,22.7,22.4,18.8
0.14,-0.0028,-0.03285,-0.01205,17.9,15.1,20.1
0.15,-0.0053,-0.011,-0.01205,20.5,18.4,22.3
0.16,-0.019549999999999998,0.0432,-0.01205,21.3,20.2,18.0
0.17,-0.019549999999999998,0.011,-0.01205,17.9,19.55,16.7
0.18,-0.02,-0.0214,-0.01205,18.6,18.9,20.5
0.19,-0.019549999999999998,-0.0132,-0.01205,19.3,21.3,19.3
0.2,-0.019549999999999998,-0.0152,-0.01205,15.9,16.5,16.2
0.21,-0.019549999999999998,-0.0172,-0.01205,21.6,20.4,23.6
0.22,-0.0338,-0.017,-0.010925,23.2,22.9,22.6
0.23,0.0263,-0.0099,-0.010925,22.2,20.7,19.2
0.24,0.0218,-0.01,-0.010925,17.6,20.65,15.3
0.25,0.0218,-0.0099,-0.010925,19.8,20.6,18.4
0.26,0.0218,-0.0099,-0.0098,17.4,20.1,22.6
0.27,0.0173,-0.0099,-0.014975,21.2,19.6,16.4
0.28,-0.010549999999999999,-0.0099,-0.014975,17.7,16.5,18.2
0.29,-0.010549999999999999,-0.0099,-0.014975,15.8,20.5,18.4
0.3,-0.010549999999999999,-0.01,-0.015,17.7,18.1,18.85
0.31,-0.010549999999999999,-0.0099,-0.014975,17.4,15.7,19.3
0.32,-0.0384,-0.0099,-0.014975,15.3,18.9,15.7
0.33,-0.0184,-0.0099,-0.014975,16.1,18.6,17.6
0.34,-0.0184,-0.0099,-0.014975,18.9,19.3,22.1
0.35,0.0016,-0.0099,-0.014975,22.2,21.6,19.7
0.36,0.02895,-0.0099,-0.014975,20.3,20.8,21.5
0.37,0.02895,-0.0099,-0.014975,20.2,17.9,21.3
0.38,0.0563,-0.0099,-0.014975,22.3,17.3,16.3
0.39,0.022400000000000003,-0.01,-0.014975,15.1,16.2,15.6
0.4,0.022,-0.01,-0.015,16.2,16.2,15.6
