Timezero,U,V,W,U_avg,V_avg,W_avg,U',V',W',U'',V'',W'',U'V',V'W',W'U',U''_Avg,V''_Avg,W''_Avg,U'V'_Avg,V'W'_Avg,W'U'_Avg,TKE
0.0,-17.275,-25.9525,-53.8375,101.511,1.393,17.676,-118.786,-27.346,-71.513,14110.114,747.776,5114.181,3248.263,1955.572,8494.803,2080.687,327.571,178.988,117.932,65.841,68.772,1293.623
0.025,-2.6,-30.8275,-70.5525,101.614,1.395,17.676,-104.214,-32.223,-88.228,10860.558,1038.29,7784.268,3358.036,2842.943,9194.645,2081.293,327.619,179.002,117.972,65.848,68.821,1293.957
0.05,18.97,-28.705,-82.8175,101.718,1.398,17.676,-82.748,-30.103,-100.493,6847.232,906.191,10098.944,2490.963,3025.156,8315.636,2081.891,327.665,179.016,118.013,65.855,68.869,1294.286
0.075,37.9525,-30.255,-71.9375,101.821,1.4,17.677,-63.868,-31.655,-89.614,4079.185,1002.039,8030.759,2021.757,2836.747,5723.544,2082.48,327.711,179.029,118.052,65.862,68.917,1294.61
0.1,32.3925,-30.9825,-82.77,101.925,1.403,17.677,-69.532,-32.386,-100.447,4834.769,1048.821,10089.6,2251.845,3253.026,6984.331,2083.061,327.754,179.041,118.091,65.868,68.965,1294.928
0.125,16.1025,-39.75,-99.67,102.028,1.405,17.677,-85.925,-41.155,-117.347,7383.192,1693.734,13770.318,3536.264,4829.416,10083.1,2083.634,327.797,179.053,118.13,65.874,69.013,1295.242
0.15,16.0825,-42.5275,-110.1825,102.131,1.408,17.677,-86.049,-43.936,-127.859,7404.344,1930.328,16348.052,3780.584,5617.571,11002.118,2084.197,327.838,179.063,118.168,65.88,69.06,1295.549
0.175,28.8075,-25.47,-94.525,102.235,1.41,17.677,-73.427,-26.88,-112.202,5391.598,722.534,12589.289,1973.731,3015.99,8238.712,2084.753,327.877,179.073,118.206,65.885,69.107,1295.851
0.2,50.5375,18.76,-34.935,102.338,1.413,17.677,-51.8,17.347,-52.612,2683.292,300.918,2768.023,-898.583,-912.66,2725.328,2085.299,327.915,179.082,118.243,65.89,69.153,1296.148
0.225,62.4875,31.7425,17.2075,102.442,1.415,17.678,-39.954,30.328,-0.471,1596.362,919.757,0.221,-1211.72,-14.269,18.799,2085.838,327.952,179.091,118.28,65.895,69.199,1296.44
